abbreviation,long,variable,score_type,relative,clef,autobeam,default_key,second_template
fl,flute,Flauto,Flauto,c',treble,true,none,none
cnto,cornett,Cornetto,Cornetto,c',soprano,true,none,none
ob,oboe,Oboe,Oboe,c',treble,true,none,none
ob d'amore,oboe d'amore,OboeAmore,Oboe d'amore,c',treble,true,none,none
ob da caccia,oboe da caccia,OboeCacc,Oboe da caccia,c',treble,true,none,none
cl,clarinet,Clarinetto,Clarinetto,c',treble,true,none,none
chalumeau,chalumeau,Salmoe,Salmoè,c',treble,true,none,none
fag,bassoon,Fagotto,Fagotto,c,bass,true,none,none
cor,horn,Corno,Corno,c',treble,true,C,none
cor da caccia,corno da caccia,CornoCacc,Corno da caccia,c',treble,true,C,none
clno,clarion,Clarino,Clarino,c',treble,true,C,none
tr,trumpet,Tromba,Tromba,c',treble,true,C,none
trb,trombone,Trombone,Trombone,c',treble,true,none,none
a-trb,alto trombone,AltoTrombone,Alto trombone,c',alto,true,none,none
t-trb,tenor trombone,TenorTrombone,Tenor trombone,c',tenor,true,none,none
b-trb,bass trombone,BassTrombone,Bass trombone,c,bass,true,none,none
timp,timpani,Timpani,Timpani,c,bass,true,C,none
vl,violin,Violino,Violino,c',treble,true,none,none
vla,viola,Viola,Viola,c',treble,true,none,none
vla da gamba,viola da gamba,Gamba,Viola da gamba,c',treble,true,none,none
vlc,violoncello,Cello,Violoncello,c,bass,true,none,none
vlne,violone,Violone,Violone,c,bass,true,none,none
cb,contrabass,Contrabasso,Contrabasso,c,bass,true,none,none
soli,soloists,Soli,Soli,c',treble,false,none,lyrics
coro,chorus,Coro,Coro,c',treble,false,none,lyrics
S,soprano,Soprano,Soprano,c',treble,false,none,lyrics
A,alto,Alto,Alto,c',treble,false,none,lyrics
T,tenor,Tenore,Tenore,c',"""treble_8""",false,none,lyrics
B,bass,Basso,Basso,c,bass,false,none,lyrics
org,organ,Organo,Organo,c,bass,true,none,figures
org_realized,organ,Organo,Organo (basso continuo realizzato),c,bass,true,none,figures
cemb,cembalo,Cembalo,Cembalo,c,bass,true,none,figures
cemb_realized,cembalo,Cembalo,Cembalo (basso continuo realizzato),c,bass,true,none,figures
pf,piano,Piano,Piano,c,bass,true,none,none
pf_red,piano reduction,Piano,Riduzione per pianoforte,c,bass,true,none,none
b,basses,Bassi,Bassi,c,bass,true,none,none
bc,basso continuo,BassoContinuo,Basso continuo,c,bass,true,none,figures
bc_realized,basso continuo,BassoContinuo,Basso continuo realizzato,c,bass,true,none,figures
fond,fondamento,Fondamento,Fondamento,c,bass,true,none,figures
chords,chords,Chords,Chords,c',treble,true,none,none
